Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
2014-10-30,4510.278,streamflow,9185600,ft3/s,['A'],0
2014-10-31,4437.684,streamflow,9185600,ft3/s,['A'],0
2014-11-01,4463.229,streamflow,9185600,ft3/s,['A'],0
2014-11-02,4448.229,streamflow,9185600,ft3/s,['A'],0
2014-11-03,4475.5293,streamflow,9185600,ft3/s,['A'],0
2014-11-04,4262.222,streamflow,9185600,ft3/s,['A'],0
2014-11-05,4391.771,streamflow,9185600,ft3/s,['A'],0
2014-11-06,4306.0415,streamflow,9185600,ft3/s,['A'],0
2014-11-07,4047.8125,streamflow,9185600,ft3/s,['A'],0
2014-11-08,3866.1458,streamflow,9185600,ft3/s,['A'],0
2014-11-09,3883.6458,streamflow,9185600,ft3/s,['A'],0
2014-11-10,3839.4792,streamflow,9185600,ft3/s,['A'],0
2014-11-11,3809.2708,streamflow,9185600,ft3/s,['A'],0
2014-11-12,4027.7083,streamflow,9185600,ft3/s,['A'],0
2014-11-13,3886.5625,streamflow,9185600,ft3/s,['A'],0
2014-11-14,3788.0208,streamflow,9185600,ft3/s,['A'],0
2014-11-15,3693.2292,streamflow,9185600,ft3/s,['A'],0
2014-11-16,3394.8958,streamflow,9185600,ft3/s,['A'],0
2014-11-17,3615.9375,streamflow,9185600,ft3/s,['A'],0
2014-11-18,3806.875,streamflow,9185600,ft3/s,['A'],0
2014-11-19,3627.9167,streamflow,9185600,ft3/s,['A'],0
2014-11-20,3360.3125,streamflow,9185600,ft3/s,['A'],0
2014-11-21,3537.7083,streamflow,9185600,ft3/s,['A'],0
2014-11-22,3682.7083,streamflow,9185600,ft3/s,['A'],0
2014-11-23,3718.3333,streamflow,9185600,ft3/s,['A'],0
2014-11-24,3864.5833,streamflow,9185600,ft3/s,['A'],0
2014-11-25,3901.25,streamflow,9185600,ft3/s,['A'],0
2014-11-26,3909.6875,streamflow,9185600,ft3/s,['A'],0
2014-11-27,3811.9792,streamflow,9185600,ft3/s,['A'],0
2014-11-28,3731.7708,streamflow,9185600,ft3/s,['A'],0
2014-11-29,3851.9792,streamflow,9185600,ft3/s,['A'],0
2014-11-30,3826.4583,streamflow,9185600,ft3/s,['A'],0
2014-12-01,3805.9375,streamflow,9185600,ft3/s,['A'],0
2014-12-02,3773.5417,streamflow,9185600,ft3/s,['A'],0
2014-12-03,3730.8333,streamflow,9185600,ft3/s,['A'],0
2014-12-04,3719.7917,streamflow,9185600,ft3/s,['A'],0
2014-12-05,3797.0833,streamflow,9185600,ft3/s,['A'],0
2014-12-06,3742.2917,streamflow,9185600,ft3/s,['A'],0
2014-12-07,3751.6667,streamflow,9185600,ft3/s,['A'],0
2014-12-08,3792.9167,streamflow,9185600,ft3/s,['A'],0
2014-12-09,3769.4792,streamflow,9185600,ft3/s,['A'],0
2014-12-10,3757.9788,streamflow,9185600,ft3/s,['A'],0
2014-12-11,3750.625,streamflow,9185600,ft3/s,['A'],0
2014-12-12,3643.125,streamflow,9185600,ft3/s,['A'],0
2014-12-13,3595.2083,streamflow,9185600,ft3/s,['A'],0
2014-12-14,3875.2083,streamflow,9185600,ft3/s,['A'],0
2014-12-15,4071.875,streamflow,9185600,ft3/s,['A'],0
2014-12-16,4066.1458,streamflow,9185600,ft3/s,['A'],0
2014-12-17,4079.375,streamflow,9185600,ft3/s,['A'],0
2014-12-18,3942.2917,streamflow,9185600,ft3/s,['A'],0
2014-12-19,3871.9792,streamflow,9185600,ft3/s,['A'],0
2014-12-20,3847.7083,streamflow,9185600,ft3/s,['A'],0
2014-12-21,3941.4583,streamflow,9185600,ft3/s,['A'],0
2014-12-22,3943.5715,streamflow,9185600,ft3/s,['A'],0
2014-12-23,,streamflow,9185600,ft3/s,['A'],0
2014-12-24,4067.5,streamflow,9185600,ft3/s,['A'],0
2014-12-25,3907.6042,streamflow,9185600,ft3/s,['A'],0
2014-12-26,3723.5417,streamflow,9185600,ft3/s,['A'],0
2014-12-27,3598.2292,streamflow,9185600,ft3/s,['A'],0
2014-12-28,3735.3125,streamflow,9185600,ft3/s,['A'],0
2014-12-29,3794.0625,streamflow,9185600,ft3/s,['A'],0
2014-12-30,3702.8572,streamflow,9185600,ft3/s,['A'],0
2014-12-31,3557.647,streamflow,9185600,ft3/s,['A'],0
2015-01-01,3628.2292,streamflow,9185600,ft3/s,['A'],0
2015-01-02,3502.1428,streamflow,9185600,ft3/s,['A'],0
2015-01-03,,streamflow,9185600,ft3/s,['A'],0
2015-01-04,,streamflow,9185600,ft3/s,['A'],0
2015-01-05,,streamflow,9185600,ft3/s,['A'],0
2015-01-06,,streamflow,9185600,ft3/s,['A'],0
2015-01-07,,streamflow,9185600,ft3/s,['A'],0
2015-01-08,,streamflow,9185600,ft3/s,['A'],0
2015-01-09,,streamflow,9185600,ft3/s,['A'],0
2015-01-10,,streamflow,9185600,ft3/s,['A'],0
2015-01-11,4067.5,streamflow,9185600,ft3/s,['A'],0
2015-01-12,3929.0625,streamflow,9185600,ft3/s,['A'],0
2015-01-13,3981.0417,streamflow,9185600,ft3/s,['A'],0
2015-01-14,4142.8125,streamflow,9185600,ft3/s,['A'],0
2015-01-15,4126.6665,streamflow,9185600,ft3/s,['A'],0
2015-01-16,4019.1304,streamflow,9185600,ft3/s,['A'],0
2015-01-17,3770.8333,streamflow,9185600,ft3/s,['A'],0
